web-scraper-order,web-scraper-start-url,category-selector,category-selector-href,people,people-href,height,weight,image-src
"1588811666-249","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Lucia Chen","https://wiki.d-addicts.com/Lucia_Chen","167","null","/images/0/00/LuciaChen.jpg"
"1588812454-1239","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Heo Gong","https://wiki.d-addicts.com/Heo_Gong","165","72","/images/a/a3/Heo_Gong.jpg"
"1588814397-3584","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Edison Chen","https://wiki.d-addicts.com/Edison_Chen","178","65","/images/6/69/Edison_Chen.jpg"
"1588812348-1099","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hwang Kwang Hee","https://wiki.d-addicts.com/Hwang_Kwang_Hee","175","60","/images/0/0f/Kwanghee.jpg"
"1588813038-1900","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Arin","https://wiki.d-addicts.com/Arin","164","47","/images/thumb/6/6a/Arin.jpg/300px-Arin.jpg"
"1588813259-2178","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Iijima Naoko","https://wiki.d-addicts.com/Iijima_Naoko","166","null","/images/7/7b/IijimaNaoko.jpg"
"1588812299-1033","https://wiki.d-addicts.com/Category:Singers","SGSinger","https://wiki.d-addicts.com/Category:SGSinger","Chen Li Ping","https://wiki.d-addicts.com/Chen_Li_Ping","165","68","/images/thumb/e/ec/Clp.jpg/200px-Clp.jpg"
"1588812647-1463","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","G.NA","https://wiki.d-addicts.com/G.NA","168","47","/images/thumb/6/6d/Gna.jpg/300px-Gna.jpg"
"1588813191-2088","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Iriyama Anna","https://wiki.d-addicts.com/Iriyama_Anna","160","null","/images/thumb/e/ee/Iriyama_Anna.jpg/200px-Iriyama_Anna.jpg"
"1588811891-552","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Guo Yan Fu","https://wiki.d-addicts.com/Guo_Yan_Fu","175","66","/images/f/f0/Guo_Yan_Fu.jpg"
"1588812573-1382","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Gummy","https://wiki.d-addicts.com/Gummy","165","null","/images/thumb/c/c7/Gummy.jpg/299px-Gummy.jpg"
"1588815466-4708","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Cui Shao Yang","https://wiki.d-addicts.com/Cui_Shao_Yang","null","null","/images/3/36/Cui_Shao_Yang.jpg"
"1588813088-1958","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Kago Ai","https://wiki.d-addicts.com/Kago_Ai","155","39","/images/8/81/KagoAi2008.jpg"
"1588812868-1707","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Cho Kyu Hyun","https://wiki.d-addicts.com/Cho_Kyu_Hyun","180","68","/images/thumb/3/37/Jo_Kyu_Hyun.jpg/230px-Jo_Kyu_Hyun.jpg"
"1588812394-1147","https://wiki.d-addicts.com/Category:Singers","KSinger","https://wiki.d-addicts.com/Category:KSinger","Hwa Yo Bi","https://wiki.d-addicts.com/Hwa_Yo_Bi","161","45","/images/0/06/Hwa_Yo_Bi.jpg"
"1588814612-3819","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Alex Fong Lik Sun","https://wiki.d-addicts.com/Alex_Fong_Lik_Sun","175","68","/images/6/60/Alex_FonG.jpg"
"1588812101-786","https://wiki.d-addicts.com/Category:Singers","TWSinger","https://wiki.d-addicts.com/Category:TWSinger","Barbie Hsu","https://wiki.d-addicts.com/Barbie_Hsu","163","44","/images/0/09/BarbieHsu.jpg"
"1588813903-2961","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Abe Asami","https://wiki.d-addicts.com/Abe_Asami","153.5","38","/images/6/61/Abeasami.jpg"
"1588813954-3023","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Ron Ng","https://wiki.d-addicts.com/Ron_Ng","180","71","/images/c/cc/RonNg.jpg"
"1588814302-3449","https://wiki.d-addicts.com/Category:Singers","HKSinger","https://wiki.d-addicts.com/Category:HKSinger","Hins Cheung","https://wiki.d-addicts.com/Hins_Cheung","175","null","/images/6/61/Hins_Cheung.jpg"
"1588814904-4154","https://wiki.d-addicts.com/Category:Singers","CSinger","https://wiki.d-addicts.com/Category:CSinger","Qiao Ren Liang","https://wiki.d-addicts.com/Qiao_Ren_Liang","180","65","/images/0/01/QiaoRenLiang.jpg"
"1588813412-2363","https://wiki.d-addicts.com/Category:Singers","JSinger","https://wiki.d-addicts.com/Category:JSinger","Hayami Yu","https://wiki.d-addicts.com/Hayami_Yu","164","null","/images/thumb/8/88/Hayami_Yu.jpg/200px-Hayami_Yu.jpg"
